579,156,0.000283,7.008772,12
437,187,0.000184,6.869509,15
430,189,0.000194,6.610747,13
466,207,0.000194,6.945455,17
16,16,0.000013,5.500000,10
407,152,0.000167,6.590846,12
422,168,0.000242,6.612601,14
96,27,0.000045,8.054217,11
576,87,0.000230,6.730019,7
634,119,0.000258,7.052538,13
90,57,0.000045,6.809816,15
560,141,0.000236,6.932392,11
83,47,0.000040,5.891156,13
502,146,0.000200,6.734305,14
66,39,0.000034,6.134454,13
501,146,0.000203,6.698768,10
81,44,0.000039,6.510638,10
46,37,0.000026,7.869048,19
386,160,0.000164,6.806405,18
429,190,0.000178,6.808201,16
540,132,0.000235,6.774428,14
453,166,0.000188,6.643750,10
464,181,0.000190,6.876074,15
651,198,0.000265,7.221930,14
406,189,0.000175,6.628453,13
423,187,0.000176,6.837366,15
453,203,0.000205,6.817164,15
17,15,0.000015,5.382353,7
405,165,0.000194,6.697772,13
542,140,0.000227,6.953271,16
135,38,0.000063,8.691304,14
67,34,0.000035,7.914530,12
452,194,0.000190,6.759051,16
432,195,0.000181,6.809211,13
521,162,0.000229,6.914502,14
111,79,0.000051,7.827411,17
590,98,0.000243,6.833492,14
549,148,0.000229,6.898773,14
447,184,0.000183,6.728192,12
460,211,0.000213,6.956790,13
394,140,0.000185,6.472103,8
65,45,0.000034,7.798319,19
510,155,0.000206,6.728982,11
525,222,0.000212,6.770652,16
533,130,0.000212,6.888771,14
416,184,0.000175,6.963464,20
19,18,0.000017,7.472222,14
428,181,0.000197,6.787599,15
552,149,0.000230,6.852342,11
461,198,0.000188,7.300371,16
496,174,0.000201,7.079128,12
88,49,0.000043,7.538961,15
601,101,0.000245,6.789916,11
452,206,0.000185,7.279040,16
560,132,0.000235,6.863911,12
43,36,0.000025,7.333333,16
480,180,0.000198,6.946746,8
459,216,0.000188,7.028290,12
80,55,0.000040,7.758865,17
68,46,0.000034,6.628099,16
525,219,0.000215,6.796518,19
401,153,0.000170,6.597475,13
632,195,0.000259,7.222924,15
416,188,0.000196,6.955224,18
496,210,0.000201,7.478857,14
20,20,0.000014,7.916667,16
659,129,0.000268,7.118803,17
474,197,0.000225,6.955847,15
62,41,0.000032,7.633929,19
423,170,0.000178,6.562249,10
514,158,0.000236,6.832969,16
394,166,0.000169,6.625000,16
420,181,0.000177,6.912634,15
410,178,0.000199,6.706207,18
386,175,0.000165,6.514577,11
448,176,0.000184,6.877525,20
389,164,0.000182,6.535456,14
466,194,0.000193,6.904126,16
453,194,0.000190,6.616149,10
442,193,0.000182,6.836551,17
590,129,0.000263,6.828820,11
454,197,0.000192,7.008696,21
57,39,0.000031,5.575472,11
18,17,0.000014,7.257143,13
387,149,0.000163,6.435860,7
572,175,0.000260,7.080357,17
417,179,0.000175,6.644898,11
596,175,0.000266,7.102927,17
382,168,0.000195,6.388807,8
522,150,0.000213,6.742734,12
580,151,0.000245,7.113592,21
458,208,0.000190,6.909988,18
485,176,0.000199,6.989449,12
580,152,0.000241,6.989279,14
409,152,0.000171,6.717241,12
403,161,0.000170,6.648951,17
636,186,0.000286,7.133752,8
48,29,0.000027,5.715909,9
613,104,0.000249,6.960514,14
450,203,0.000208,6.843750,13
